Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
BOS,BOS vs. ATL,04/24/2016,W,53,104,40,94,42.6,11,33,33.3,13,19,68.4,12,40,52,25,14,7,7,19,9,
GSW,GSW @ HOU,04/24/2016,W,48,121,46,89,51.7,21,40,52.5,8,16,50.0,7,36,43,38,16,10,2,26,27,
SAS,SAS @ MEM,04/24/2016,W,48,116,40,81,49.4,10,22,45.5,26,31,83.9,13,28,41,21,12,8,6,21,21,
HOU,HOU vs. GSW,04/24/2016,L,48,94,33,78,42.3,5,27,18.5,23,38,60.5,9,35,44,18,18,11,3,20,-27,
TOR,TOR @ IND,04/23/2016,L,48,83,27,74,36.5,8,30,26.7,21,30,70.0,11,29,40,12,19,8,3,20,-17,
MIA,MIA @ CHA,04/23/2016,L,48,80,27,79,34.2,7,22,31.8,19,30,63.3,12,41,53,13,15,1,8,20,-16,
POR,POR vs. LAC,04/23/2016,W,48,96,37,87,42.5,6,25,24.0,16,23,69.6,16,40,56,15,16,5,3,24,8,
DAL,DAL vs. OKC,04/23/2016,L,48,108,43,83,51.8,8,23,34.8,14,17,82.4,7,26,33,25,12,3,2,27,-11,
IND,IND vs. TOR,04/23/2016,W,48,100,40,85,47.1,6,16,37.5,14,18,77.8,15,28,43,24,13,10,5,22,17,
CHA,CHA vs. MIA,04/23/2016,W,48,96,35,90,38.9,5,18,27.8,21,22,95.5,9,38,47,18,4,5,4,24,16,
LAC,LAC @ POR,04/23/2016,L,48,88,36,88,40.9,3,18,16.7,13,23,56.5,11,33,44,15,10,11,4,17,-8,
OKC,OKC @ DAL,04/23/2016,W,48,119,44,83,53.0,7,16,43.8,24,34,70.6,12,30,42,26,9,6,3,19,11,
BOS,BOS vs. ATL,04/22/2016,W,48,111,38,82,46.3,11,32,34.4,24,33,72.7,7,37,44,23,16,10,6,20,8,
SAS,SAS @ MEM,04/22/2016,W,48,96,35,77,45.5,12,26,46.2,14,19,73.7,7,32,39,24,11,10,12,20,9,
DET,DET vs. CLE,04/22/2016,L,48,91,36,74,48.6,6,23,26.1,13,19,68.4,5,27,32,22,8,7,3,19,-10,
MEM,MEM vs. SAS,04/22/2016,L,48,87,34,82,41.5,4,18,22.2,15,19,78.9,15,33,48,17,14,4,4,17,-9,
ATL,ATL @ BOS,04/22/2016,L,48,103,38,86,44.2,9,36,25.0,18,21,85.7,7,34,41,19,14,10,7,24,-8,
CLE,CLE @ DET,04/22/2016,W,48,101,39,80,48.8,12,29,41.4,11,15,73.3,12,34,46,24,10,3,4,17,10,
DAL,DAL vs. OKC,04/21/2016,L,48,102,36,76,47.4,6,23,26.1,24,35,68.6,6,23,29,24,12,9,3,27,-29,
IND,IND vs. TOR,04/21/2016,L,48,85,26,68,38.2,6,22,27.3,27,33,81.8,9,29,38,16,17,3,6,18,-16,
OKC,OKC @ DAL,04/21/2016,W,48,131,45,78,57.7,15,27,55.6,26,35,74.3,9,33,42,28,14,10,5,27,29,
TOR,TOR @ IND,04/21/2016,W,48,101,39,94,41.5,10,31,32.3,13,16,81.3,15,30,45,18,11,6,4,27,16,
GSW,GSW @ HOU,04/21/2016,L,48,96,34,79,43.0,6,25,24.0,22,29,75.9,8,35,43,23,14,6,6,23,-1,
HOU,HOU vs. GSW,04/21/2016,W,48,97,36,92,39.1,11,36,30.6,14,23,60.9,16,36,52,18,16,9,4,24,1,
LAC,LAC vs. POR,04/20/2016,W,48,102,40,87,46.0,8,21,38.1,14,25,56.0,12,40,52,20,10,7,9,18,21,
CLE,CLE vs. DET,04/20/2016,W,48,107,40,80,50.0,20,38,52.6,7,14,50.0,6,31,37,23,13,7,1,24,17,
MIA,MIA vs. CHA,04/20/2016,W,48,115,44,76,57.9,9,16,56.3,18,22,81.8,3,32,35,19,11,6,6,25,12,
POR,POR @ LAC,04/20/2016,L,48,81,31,91,34.1,5,26,19.2,14,16,87.5,15,37,52,20,11,6,3,20,-21,
DET,DET @ CLE,04/20/2016,L,48,90,34,78,43.6,4,17,23.5,18,32,56.3,11,29,40,19,13,7,4,18,-17,
CHA,CHA @ MIA,04/20/2016,L,48,103,38,89,42.7,1,16,6.3,26,33,78.8,15,24,39,9,8,3,1,16,-12,
BOS,BOS @ ATL,04/19/2016,L,48,72,28,88,31.8,5,28,17.9,11,12,91.7,10,33,43,16,16,5,10,15,-17,
SAS,SAS vs. MEM,04/19/2016,W,48,94,31,66,47.0,9,17,52.9,23,28,82.1,3,41,44,19,19,8,10,18,26,
ATL,ATL vs. BOS,04/19/2016,W,48,89,32,82,39.0,11,29,37.9,14,16,87.5,3,46,49,20,16,7,15,16,17,
MEM,MEM @ SAS,04/19/2016,L,48,68,28,86,32.6,2,15,13.3,10,18,55.6,16,28,44,14,14,14,2,24,-26,
IND,IND @ TOR,04/18/2016,L,48,87,29,70,41.4,4,20,20.0,25,30,83.3,6,27,33,13,13,7,3,23,-11,
HOU,HOU @ GSW,04/18/2016,L,48,106,35,79,44.3,10,25,40.0,26,33,78.8,12,25,37,21,19,4,5,34,-9,
TOR,TOR vs. IND,04/18/2016,W,48,98,35,80,43.8,5,18,27.8,23,25,92.0,12,32,44,19,13,8,5,25,11,
OKC,OKC vs. DAL,04/18/2016,L,48,84,31,92,33.7,7,32,21.9,15,18,83.3,19,35,54,11,15,9,4,19,-1,
GSW,GSW vs. HOU,04/18/2016,W,48,115,40,81,49.4,8,23,34.8,27,38,71.1,13,26,39,27,13,10,6,24,9,
DAL,DAL @ OKC,04/18/2016,W,48,85,35,82,42.7,5,19,26.3,10,19,52.6,11,34,45,14,13,8,4,17,1,
DET,DET @ CLE,04/17/2016,L,48,101,37,73,50.7,15,29,51.7,12,16,75.0,5,32,37,24,12,4,2,21,-5,
CHA,CHA @ MIA,04/17/2016,L,48,91,28,65,43.1,6,17,35.3,29,37,78.4,7,21,28,11,11,5,2,17,-32,
MEM,MEM @ SAS,04/17/2016,L,48,74,31,79,39.2,8,18,44.4,4,6,66.7,10,25,35,17,17,7,5,16,-32,
LAC,LAC vs. POR,04/17/2016,W,48,115,42,78,53.8,6,17,35.3,25,39,64.1,11,37,48,23,10,7,7,23,20,
POR,POR @ LAC,04/17/2016,L,48,95,33,83,39.8,10,30,33.3,19,26,73.1,10,30,40,23,12,6,2,28,-20,
CLE,CLE vs. DET,04/17/2016,W,48,106,39,88,44.3,12,35,34.3,16,21,76.2,12,28,40,25,5,7,4,18,5,
SAS,SAS vs. MEM,04/17/2016,W,48,106,42,81,51.9,10,22,45.5,12,13,92.3,9,35,44,22,13,13,9,11,32,
MIA,MIA vs. CHA,04/17/2016,W,48,123,49,85,57.6,9,18,50.0,16,21,76.2,14,28,42,27,6,7,4,24,32,
DAL,DAL @ OKC,04/16/2016,L,48,70,25,84,29.8,4,18,22.2,16,26,61.5,9,24,33,16,13,5,0,25,-38,
HOU,HOU @ GSW,04/16/2016,L,48,78,30,84,35.7,6,22,27.3,12,24,50.0,13,38,51,16,24,10,6,28,-26,
TOR,TOR vs. IND,04/16/2016,L,48,90,30,79,38.0,4,19,21.1,26,38,68.4,20,32,52,17,20,6,5,27,-10,
BOS,BOS @ ATL,04/16/2016,L,48,101,37,102,36.3,11,35,31.4,16,19,84.2,15,35,50,27,10,6,6,32,-1,
ATL,ATL vs. BOS,04/16/2016,W,48,102,35,86,40.7,5,26,19.2,27,35,77.1,13,40,53,23,12,4,9,20,1,
IND,IND @ TOR,04/16/2016,W,48,100,34,79,43.0,11,21,52.4,21,29,72.4,9,29,38,19,13,11,8,25,10,
GSW,GSW vs. HOU,04/16/2016,W,48,104,39,91,42.9,10,25,40.0,16,24,66.7,15,38,53,26,18,10,7,22,26,
OKC,OKC vs. DAL,04/16/2016,W,48,108,36,80,45.0,12,35,34.3,24,28,85.7,14,42,56,23,18,7,6,25,38,
