,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
62,UTA,UTA @ PHI,11/16/2018,L,240,107,41,88,46.6,4,22,18.2,21,37,56.8,10,29,39,15,10,4,13,25,-6.0
63,PHI,PHI vs. UTA,11/16/2018,W,240,113,41,82,50.0,11,23,47.8,20,32,62.5,10,31,41,25,7,5,17,27,6.0
64,POR,POR @ MIN,11/16/2018,L,240,96,37,88,42.0,8,29,27.6,14,20,70.0,11,37,48,16,6,1,18,14,-16.0
65,MIN,MIN vs. POR,11/16/2018,W,240,112,46,92,50.0,12,28,42.9,8,11,72.7,9,34,43,28,11,4,12,16,16.0
66,TOR,TOR @ BOS,11/16/2018,L,265,116,42,97,43.3,8,29,27.6,24,29,82.8,11,32,43,20,12,4,14,23,-7.0
67,BOS,BOS vs. TOR,11/16/2018,W,265,123,47,89,52.8,9,26,34.6,20,24,83.3,9,37,46,25,9,6,18,23,7.0
68,WAS,WAS vs. BKN,11/16/2018,L,240,104,37,87,42.5,3,18,16.7,27,34,79.4,12,35,47,18,5,4,13,23,-11.0
69,BKN,BKN @ WAS,11/16/2018,W,240,115,38,90,42.2,9,33,27.3,30,38,78.9,13,34,47,19,8,3,12,24,11.0
70,IND,IND vs. MIA,11/16/2018,W,240,99,36,81,44.4,14,27,51.9,13,15,86.7,4,43,47,22,10,6,19,14,8.0
71,MIA,MIA @ IND,11/16/2018,L,240,91,35,93,37.6,14,36,38.9,7,10,70.0,13,38,51,21,10,5,18,16,-8.0
72,SAS,SAS @ LAC,11/15/2018,L,240,111,41,103,39.8,9,29,31.0,20,25,80.0,15,30,45,19,7,6,5,24,-5.0
73,LAC,LAC vs. SAS,11/15/2018,W,240,116,40,85,47.1,8,23,34.8,28,35,80.0,9,41,50,23,2,3,12,25,5.0
74,DEN,DEN vs. ATL,11/15/2018,W,240,138,53,94,56.4,13,31,41.9,19,25,76.0,11,45,56,34,12,6,15,24,45.0
75,ATL,ATL @ DEN,11/15/2018,L,240,93,32,92,34.8,9,42,21.4,20,27,74.1,15,28,43,20,7,5,19,22,-45.0
76,HOU,HOU vs. GSW,11/15/2018,W,240,107,35,87,40.2,16,47,34.0,21,26,80.8,14,27,41,20,8,4,8,21,21.0
77,GSW,GSW @ HOU,11/15/2018,L,240,86,32,76,42.1,4,18,22.2,18,22,81.8,12,32,44,18,2,5,17,24,-21.0
78,WAS,WAS vs. CLE,11/14/2018,W,240,119,44,92,47.8,13,40,32.5,18,26,69.2,12,32,44,30,17,3,18,25,24.0
79,CLE,CLE @ WAS,11/14/2018,L,240,95,35,77,45.5,4,21,19.0,21,31,67.7,9,33,42,22,12,6,24,24,-24.0
80,POR,POR @ LAL,11/14/2018,L,240,117,41,93,44.1,14,33,42.4,21,23,91.3,11,36,47,24,8,10,15,21,-9.0
81,LAL,LAL vs. POR,11/14/2018,W,240,126,44,93,47.3,15,32,46.9,23,26,88.5,11,37,48,25,11,6,13,18,9.0
82,SAS,SAS @ PHX,11/14/2018,L,240,96,35,83,42.2,7,23,30.4,19,24,79.2,13,30,43,16,7,4,18,12,-20.0
83,PHX,PHX vs. SAS,11/14/2018,W,240,116,47,84,56.0,15,31,48.4,7,8,87.5,5,33,38,27,9,4,16,23,20.0
84,MEM,MEM @ MIL,11/14/2018,W,240,116,42,83,50.6,14,36,38.9,18,24,75.0,4,30,34,24,8,4,14,20,3.0
85,MIL,MIL vs. MEM,11/14/2018,L,240,113,41,81,50.6,9,35,25.7,22,27,81.5,9,35,44,22,5,8,16,22,-3.0
86,MIN,MIN vs. NOP,11/14/2018,W,240,107,37,90,41.1,14,32,43.8,19,24,79.2,11,36,47,29,14,6,16,22,7.0
87,NOP,NOP @ MIN,11/14/2018,L,240,100,40,94,42.6,9,28,32.1,11,18,61.1,10,36,46,25,7,6,18,21,-7.0
88,OKC,OKC vs. NYK,11/14/2018,W,240,128,51,95,53.7,16,33,48.5,10,12,83.3,13,34,47,32,11,7,16,21,25.0
89,NYK,NYK @ OKC,11/14/2018,L,240,103,39,88,44.3,7,26,26.9,18,23,78.3,9,27,36,18,8,8,18,17,-25.0
90,DET,DET @ TOR,11/14/2018,W,240,106,44,91,48.4,10,33,30.3,8,13,61.5,7,32,39,24,8,5,18,24,2.0
91,TOR,TOR vs. DET,11/14/2018,L,240,104,45,92,48.9,4,20,20.0,10,17,58.8,12,37,49,23,9,3,20,19,-2.0
92,BKN,BKN vs. MIA,11/14/2018,L,240,107,41,101,40.6,8,28,28.6,17,24,70.8,16,30,46,17,10,2,15,29,-13.0
93,MIA,MIA @ BKN,11/14/2018,W,240,120,46,85,54.1,8,29,27.6,20,28,71.4,6,41,47,23,6,6,18,27,13.0
94,CHI,CHI @ BOS,11/14/2018,L,240,82,33,84,39.3,7,23,30.4,9,9,100.0,7,40,47,16,8,3,22,16,-29.0
95,BOS,BOS vs. CHI,11/14/2018,W,240,111,42,90,46.7,15,34,44.1,12,14,85.7,8,43,51,27,12,5,14,12,29.0
96,PHI,PHI @ ORL,11/14/2018,L,240,106,41,86,47.7,14,29,48.3,10,15,66.7,10,31,41,32,2,3,15,21,-5.0
97,ORL,ORL vs. PHI,11/14/2018,W,240,111,40,80,50.0,12,28,42.9,19,22,86.4,5,32,37,23,7,4,11,21,5.0
98,UTA,UTA @ DAL,11/14/2018,L,240,68,25,81,30.9,6,35,17.1,12,19,63.2,8,25,33,16,11,3,22,21,-50.0
99,DAL,DAL vs. UTA,11/14/2018,W,240,118,45,77,58.4,12,28,42.9,16,24,66.7,7,44,51,24,12,6,20,19,50.0
100,HOU,HOU @ DEN,11/13/2018,W,240,109,39,71,54.9,13,37,35.1,18,26,69.2,6,26,32,23,7,6,15,20,10.0
101,DEN,DEN vs. HOU,11/13/2018,L,240,99,38,76,50.0,11,25,44.0,12,16,75.0,7,24,31,27,11,2,16,20,-10.0
102,CHA,CHA @ CLE,11/13/2018,L,240,89,33,95,34.7,8,41,19.5,15,19,78.9,12,25,37,22,12,4,9,11,-24.0
103,CLE,CLE vs. CHA,11/13/2018,W,240,113,45,85,52.9,13,24,54.2,10,12,83.3,14,46,60,23,5,3,20,20,24.0
104,GSW,GSW vs. ATL,11/13/2018,W,240,110,39,91,42.9,12,27,44.4,20,21,95.2,13,35,48,28,8,6,13,20,7.0
105,ATL,ATL @ GSW,11/13/2018,L,240,103,40,89,44.9,12,32,37.5,11,15,73.3,10,32,42,25,9,2,17,18,-7.0
106,OKC,OKC vs. PHX,11/12/2018,W,240,118,43,92,46.7,13,27,48.1,19,20,95.0,12,30,42,23,12,6,14,15,17.0
