,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
17028,TOR,TOR vs. NJN,01/06/2012,L,240,85,33,73,45.2,6,17,35.3,13,19,68.4,9,30,39,19,7,10,13,26,-12.0
17029,NJN,NJN @ TOR,01/06/2012,W,240,97,31,80,38.8,15,31,48.4,20,27,74.1,13,31,44,21,6,0,10,19,12.0
17030,WAS,WAS vs. NYK,01/06/2012,L,240,96,41,85,48.2,6,14,42.9,8,13,61.5,10,34,44,18,11,12,23,26,-3.0
17031,NYK,NYK @ WAS,01/06/2012,W,240,99,39,89,43.8,6,18,33.3,15,21,71.4,15,34,49,22,14,3,20,18,3.0
17032,DEN,DEN @ NOH,01/06/2012,W,240,96,37,79,46.8,5,21,23.8,17,22,77.3,8,29,37,24,8,6,13,13,8.0
17033,NOH,NOH vs. DEN,01/06/2012,L,240,88,36,77,46.8,8,17,47.1,8,10,80.0,8,28,36,19,7,9,17,23,-8.0
17034,MIN,MIN vs. CLE,01/06/2012,L,240,87,31,79,39.2,4,20,20.0,21,31,67.7,12,31,43,15,8,4,16,19,-11.0
17035,CLE,CLE @ MIN,01/06/2012,W,240,98,37,80,46.3,8,17,47.1,16,22,72.7,11,34,45,20,11,7,15,25,11.0
17036,MEM,MEM @ UTA,01/06/2012,L,240,85,33,80,41.3,4,17,23.5,15,21,71.4,12,29,41,16,9,10,20,25,-9.0
17037,UTA,UTA vs. MEM,01/06/2012,W,240,94,36,71,50.7,2,8,25.0,20,30,66.7,8,30,38,17,10,10,15,19,9.0
17038,ORL,ORL vs. CHI,01/06/2012,L,240,83,30,75,40.0,7,20,35.0,16,21,76.2,9,28,37,15,5,3,18,16,-14.0
17039,CHI,CHI @ ORL,01/06/2012,W,240,97,38,86,44.2,8,14,57.1,13,17,76.5,14,32,46,27,10,4,12,18,14.0
17040,POR,POR @ PHX,01/06/2012,L,240,77,25,77,32.5,2,19,10.5,25,35,71.4,12,26,38,16,7,6,17,22,-25.0
17041,PHX,PHX vs. POR,01/06/2012,W,240,102,37,79,46.8,7,20,35.0,21,25,84.0,12,35,47,20,9,7,16,28,25.0
17042,IND,IND @ BOS,01/06/2012,W,240,87,32,80,40.0,8,14,57.1,15,18,83.3,15,33,48,17,8,1,14,23,13.0
17043,BOS,BOS vs. IND,01/06/2012,L,240,74,26,66,39.4,5,14,35.7,17,24,70.8,7,29,36,16,4,8,13,15,-13.0
17044,LAL,LAL vs. GSW,01/06/2012,W,240,97,37,77,48.1,3,11,27.3,20,29,69.0,15,32,47,27,7,4,19,18,7.0
17045,GSW,GSW @ LAL,01/06/2012,L,240,90,38,77,49.4,4,14,28.6,10,19,52.6,10,24,34,19,9,1,20,28,-7.0
17046,DET,DET @ PHI,01/06/2012,L,240,73,31,86,36.0,0,10,0.0,11,14,78.6,14,28,42,18,9,3,16,17,-23.0
17047,PHI,PHI vs. DET,01/06/2012,W,240,96,39,85,45.9,5,18,27.8,13,16,81.3,13,36,49,23,9,8,12,12,23.0
17048,SAC,SAC vs. MIL,01/05/2012,W,240,103,37,91,40.7,4,21,19.0,25,30,83.3,23,32,55,16,10,4,19,18,3.0
17049,MIL,MIL @ SAC,01/05/2012,L,240,100,39,76,51.3,9,19,47.4,13,21,61.9,7,24,31,26,12,2,20,27,-3.0
17050,MIA,MIA @ ATL,01/05/2012,W,315,116,45,102,44.1,8,28,28.6,18,23,78.3,14,42,56,25,6,6,22,35,7.0
17051,ATL,ATL vs. MIA,01/05/2012,L,315,109,36,94,38.3,6,22,27.3,31,46,67.4,15,36,51,22,10,5,19,24,-7.0
17052,POR,POR vs. LAL,01/05/2012,W,240,107,41,89,46.1,5,12,41.7,20,26,76.9,10,29,39,20,5,7,4,20,11.0
17053,LAL,LAL @ POR,01/05/2012,L,240,96,37,79,46.8,0,11,0.0,22,27,81.5,13,34,47,15,2,6,14,20,-11.0
17054,SAS,SAS vs. DAL,01/05/2012,W,240,93,34,86,39.5,16,33,48.5,9,16,56.3,9,33,42,22,9,1,9,17,22.0
17055,DAL,DAL @ SAS,01/05/2012,L,240,71,27,77,35.1,1,19,5.3,16,21,76.2,11,41,52,11,5,8,15,13,-22.0
17056,TOR,TOR vs. CLE,01/04/2012,W,240,92,36,77,46.8,10,27,37.0,10,13,76.9,7,36,43,23,4,4,11,18,15.0
17057,CLE,CLE @ TOR,01/04/2012,L,240,77,24,81,29.6,7,23,30.4,22,26,84.6,13,32,45,16,6,6,12,17,-15.0
17058,MEM,MEM @ MIN,01/04/2012,W,240,90,33,80,41.3,3,9,33.3,21,25,84.0,14,32,46,16,13,2,12,19,4.0
17059,MIN,MIN vs. MEM,01/04/2012,L,240,86,33,82,40.2,7,21,33.3,13,24,54.2,17,33,50,15,5,3,17,20,-4.0
17060,PHI,PHI @ NOH,01/04/2012,W,240,101,41,86,47.7,4,16,25.0,15,18,83.3,11,27,38,22,8,7,10,19,8.0
17061,NOH,NOH vs. PHI,01/04/2012,L,240,93,35,79,44.3,3,10,30.0,20,25,80.0,12,30,42,21,6,5,13,18,-8.0
17062,SAC,SAC @ DEN,01/04/2012,L,240,83,30,93,32.3,2,21,9.5,21,24,87.5,15,21,36,12,16,7,17,17,-27.0
17063,DEN,DEN vs. SAC,01/04/2012,W,240,110,46,76,60.5,3,9,33.3,15,22,68.2,7,43,50,31,14,11,27,22,27.0
17064,PHX,PHX @ DAL,01/04/2012,L,240,89,37,82,45.1,5,17,29.4,10,15,66.7,11,31,42,18,6,3,15,21,-9.0
17065,DAL,DAL vs. PHX,01/04/2012,W,240,98,38,91,41.8,8,22,36.4,14,21,66.7,19,34,53,30,10,2,13,19,9.0
17066,LAC,LAC vs. HOU,01/04/2012,W,240,117,47,82,57.3,6,16,37.5,17,24,70.8,5,28,33,30,12,3,7,17,28.0
17067,HOU,HOU @ LAC,01/04/2012,L,240,89,35,76,46.1,7,16,43.8,12,17,70.6,6,27,33,15,3,0,19,23,-28.0
17068,WAS,WAS @ ORL,01/04/2012,L,240,85,34,93,36.6,2,12,16.7,15,18,83.3,14,30,44,12,7,8,9,21,-18.0
17069,ORL,ORL vs. WAS,01/04/2012,W,240,103,39,85,45.9,8,19,42.1,17,25,68.0,17,37,54,27,4,3,15,13,18.0
17070,DET,DET vs. CHI,01/04/2012,L,240,83,36,88,40.9,1,6,16.7,10,12,83.3,11,27,38,18,9,1,13,16,-16.0
17071,CHI,CHI @ DET,01/04/2012,W,240,99,40,76,52.6,5,12,41.7,14,21,66.7,8,32,40,31,6,5,15,12,16.0
17072,IND,IND @ MIA,01/04/2012,L,240,83,24,69,34.8,5,19,26.3,30,39,76.9,9,27,36,12,7,3,23,26,-35.0
17073,MIA,MIA vs. IND,01/04/2012,W,240,118,42,80,52.5,8,21,38.1,26,28,92.9,7,35,42,25,12,1,13,25,35.0
17074,NJN,NJN @ BOS,01/04/2012,L,240,70,30,74,40.5,4,20,20.0,6,10,60.0,10,24,34,15,8,1,13,23,-19.0
17075,BOS,BOS vs. NJN,01/04/2012,W,240,89,35,71,49.3,6,16,37.5,13,21,61.9,12,33,45,24,7,4,13,20,19.0
17076,CHA,CHA @ NYK,01/04/2012,W,240,118,47,85,55.3,7,11,63.6,17,21,81.0,7,30,37,27,9,0,14,16,8.0
17077,NYK,NYK vs. CHA,01/04/2012,L,240,110,42,85,49.4,11,29,37.9,15,20,75.0,11,29,40,19,8,5,17,20,-8.0
17078,SAS,SAS vs. GSW,01/04/2012,W,240,101,37,78,47.4,10,17,58.8,17,24,70.8,9,36,45,23,4,7,13,14,6.0
17079,GSW,GSW @ SAS,01/04/2012,L,240,95,37,80,46.3,9,20,45.0,12,19,63.2,5,32,37,18,9,6,10,20,-6.0
17080,OKC,OKC vs. POR,01/03/2012,L,240,93,36,83,43.4,5,20,25.0,16,21,76.2,10,30,40,22,7,6,10,22,-10.0
17081,POR,POR @ OKC,01/03/2012,W,240,103,34,76,44.7,6,15,40.0,29,36,80.6,11,35,46,20,6,4,9,16,10.0
17082,MEM,MEM vs. SAC,01/03/2012,W,240,113,50,91,54.9,2,8,25.0,11,16,68.8,15,34,49,20,14,2,15,17,17.0
17083,SAC,SAC @ MEM,01/03/2012,L,240,96,34,83,41.0,9,24,37.5,19,23,82.6,14,27,41,13,11,5,19,18,-17.0
17084,UTA,UTA vs. MIL,01/03/2012,W,240,85,32,66,48.5,3,13,23.1,18,28,64.3,10,40,50,24,9,12,24,24,12.0
17085,MIL,MIL @ UTA,01/03/2012,L,240,73,29,95,30.5,2,21,9.5,13,16,81.3,23,25,48,16,8,5,14,19,-12.0
17086,CHA,CHA @ CLE,01/03/2012,L,240,101,40,90,44.4,4,14,28.6,17,19,89.5,10,36,46,20,2,6,13,22,-14.0
17087,CLE,CLE vs. CHA,01/03/2012,W,240,115,45,90,50.0,10,21,47.6,15,26,57.7,9,32,41,25,9,8,9,19,14.0
17088,CHI,CHI vs. ATL,01/03/2012,W,240,76,26,77,33.8,4,17,23.5,20,26,76.9,11,36,47,16,7,8,15,21,2.0
17089,ATL,ATL @ CHI,01/03/2012,L,240,74,28,80,35.0,4,15,26.7,14,25,56.0,10,34,44,19,8,4,13,17,-2.0
17090,LAL,LAL vs. HOU,01/03/2012,W,240,108,41,78,52.6,5,14,35.7,21,27,77.8,10,43,53,25,2,4,15,15,9.0
17091,HOU,HOU @ LAL,01/03/2012,L,240,99,41,96,42.7,11,31,35.5,6,7,85.7,10,28,38,27,8,0,8,25,-9.0
17092,SAS,SAS @ MIN,01/02/2012,L,240,96,36,82,43.9,7,20,35.0,17,21,81.0,9,21,30,26,9,3,9,15,-10.0
17093,MIN,MIN vs. SAS,01/02/2012,W,240,106,41,71,57.7,12,21,57.1,12,15,80.0,7,31,38,18,4,7,19,18,10.0
17094,MIL,MIL @ DEN,01/02/2012,L,240,86,37,88,42.0,5,19,26.3,7,11,63.6,9,29,38,19,8,8,14,20,-5.0
17095,DEN,DEN vs. MIL,01/02/2012,W,240,91,33,83,39.8,4,19,21.1,21,27,77.8,13,36,49,22,7,6,16,15,5.0
17096,OKC,OKC @ DAL,01/02/2012,L,240,87,31,77,40.3,5,19,26.3,20,26,76.9,12,29,41,12,6,5,14,17,-13.0
17097,DAL,DAL vs. OKC,01/02/2012,W,240,100,39,80,48.8,5,16,31.3,17,20,85.0,11,30,41,21,8,4,12,23,13.0
17098,UTA,UTA vs. NOH,01/02/2012,W,240,94,37,76,48.7,5,15,33.3,15,23,65.2,9,27,36,20,6,6,12,18,4.0
17099,NOH,NOH @ UTA,01/02/2012,L,240,90,37,74,50.0,3,10,30.0,13,16,81.3,7,30,37,22,5,4,15,24,-4.0
17100,MIA,MIA vs. ATL,01/02/2012,L,240,92,34,73,46.6,5,13,38.5,19,28,67.9,9,31,40,23,5,3,16,15,-8.0
17101,ATL,ATL @ MIA,01/02/2012,W,240,100,39,82,47.6,9,16,56.3,13,20,65.0,10,30,40,19,10,5,10,21,8.0
17102,DET,DET vs. ORL,01/02/2012,W,240,89,31,62,50.0,2,8,25.0,25,33,75.8,11,28,39,19,8,3,18,19,11.0
17103,ORL,ORL @ DET,01/02/2012,L,240,78,28,63,44.4,8,22,36.4,14,21,66.7,7,21,28,20,12,3,17,24,-11.0
17104,IND,IND @ NJN,01/02/2012,W,240,108,41,78,52.6,13,21,61.9,13,18,72.2,14,28,42,26,7,6,16,23,14.0
17105,NJN,NJN vs. IND,01/02/2012,L,240,94,33,89,37.1,7,28,25.0,21,26,80.8,20,20,40,15,9,10,12,16,-14.0
17106,PHX,PHX vs. GSW,01/02/2012,W,240,102,39,87,44.8,8,23,34.8,16,21,76.2,16,33,49,23,6,2,13,18,11.0
17107,GSW,GSW @ PHX,01/02/2012,L,240,91,36,72,50.0,7,17,41.2,12,20,60.0,7,29,36,27,6,3,17,24,-11.0
17108,TOR,TOR @ NYK,01/02/2012,W,240,90,30,68,44.1,7,17,41.2,23,29,79.3,4,40,44,21,5,5,18,30,5.0
17109,NYK,NYK vs. TOR,01/02/2012,L,240,85,28,78,35.9,10,35,28.6,19,25,76.0,6,33,39,14,8,3,13,24,-5.0
17110,WAS,WAS @ BOS,01/02/2012,L,240,92,35,83,42.2,3,11,27.3,19,23,82.6,13,29,42,14,10,10,13,17,-8.0
17111,BOS,BOS vs. WAS,01/02/2012,W,240,100,38,83,45.8,10,20,50.0,14,21,66.7,12,31,43,28,3,4,17,23,8.0
17112,WAS,WAS vs. BOS,01/01/2012,L,240,86,32,78,41.0,2,16,12.5,20,23,87.0,10,29,39,15,9,8,14,21,-8.0
17113,BOS,BOS @ WAS,01/01/2012,W,240,94,37,74,50.0,5,12,41.7,15,23,65.2,8,33,41,26,7,5,16,20,8.0
17114,MIN,MIN vs. DAL,01/01/2012,W,240,99,36,85,42.4,10,22,45.5,17,24,70.8,17,37,54,15,7,3,17,17,17.0
17115,DAL,DAL @ MIN,01/01/2012,L,240,82,29,77,37.7,7,24,29.2,17,21,81.0,6,29,35,17,11,9,17,22,-17.0
17116,SAC,SAC vs. NOH,01/01/2012,W,240,96,35,85,41.2,8,23,34.8,18,21,85.7,12,29,41,16,12,6,10,15,16.0
17117,NOH,NOH @ SAC,01/01/2012,L,240,80,36,89,40.4,0,15,0.0,8,16,50.0,22,38,60,24,4,2,19,18,-16.0
17118,LAL,LAL @ DEN,01/01/2012,L,240,90,35,88,39.8,4,23,17.4,16,24,66.7,12,32,44,19,8,4,15,28,-9.0
17119,DEN,DEN vs. LAL,01/01/2012,W,240,99,33,71,46.5,2,18,11.1,31,37,83.8,5,39,44,21,9,2,15,18,9.0
17120,POR,POR @ LAC,01/01/2012,L,240,88,33,78,42.3,4,15,26.7,18,22,81.8,13,33,46,20,9,2,21,24,-5.0
17121,LAC,LAC vs. POR,01/01/2012,W,240,93,36,75,48.0,6,24,25.0,15,24,62.5,8,30,38,25,11,2,21,18,5.0
17122,TOR,TOR @ ORL,01/01/2012,L,240,96,32,70,45.7,5,13,38.5,27,29,93.1,5,28,33,23,4,2,11,27,-6.0
17123,ORL,ORL vs. TOR,01/01/2012,W,240,102,37,75,49.3,12,27,44.4,16,24,66.7,8,25,33,20,4,6,12,22,6.0
17124,CHA,CHA @ MIA,01/01/2012,L,240,90,35,92,38.0,6,18,33.3,14,21,66.7,11,29,40,20,9,3,16,20,-39.0
17125,MIA,MIA vs. CHA,01/01/2012,W,240,129,48,80,60.0,7,11,63.6,26,31,83.9,5,42,47,33,10,3,15,18,39.0
17126,NJN,NJN @ CLE,01/01/2012,L,240,82,27,71,38.0,7,22,31.8,21,28,75.0,8,24,32,16,11,6,22,16,-16.0
17127,CLE,CLE vs. NJN,01/01/2012,W,240,98,38,78,48.7,16,26,61.5,6,11,54.5,10,26,36,24,11,10,22,26,16.0
17128,MEM,MEM @ CHI,01/01/2012,L,240,64,26,84,31.0,1,9,11.1,11,14,78.6,14,26,40,13,10,4,18,18,-40.0
17129,CHI,CHI vs. MEM,01/01/2012,W,240,104,39,84,46.4,5,13,38.5,21,29,72.4,17,38,55,24,10,12,15,15,40.0
17130,OKC,OKC vs. PHX,12/31/2011,W,240,107,41,77,53.2,9,22,40.9,16,18,88.9,8,37,45,25,9,6,21,27,10.0
17131,PHX,PHX @ OKC,12/31/2011,L,240,97,35,88,39.8,8,26,30.8,19,23,82.6,13,24,37,19,9,7,12,16,-10.0
17132,SAC,SAC vs. NYK,12/31/2011,L,240,92,30,86,34.9,6,22,27.3,26,41,63.4,22,29,51,15,7,2,14,22,-22.0
17133,NYK,NYK @ SAC,12/31/2011,W,240,114,40,89,44.9,10,28,35.7,24,27,88.9,17,26,43,26,7,6,12,35,22.0
17134,DET,DET vs. IND,12/31/2011,W,240,96,39,82,47.6,8,15,53.3,10,13,76.9,10,39,49,25,4,2,18,23,8.0
17135,IND,IND @ DET,12/31/2011,L,240,88,30,76,39.5,5,15,33.3,23,28,82.1,6,30,36,17,14,5,11,19,-8.0
17136,HOU,HOU vs. ATL,12/31/2011,W,240,95,38,82,46.3,9,19,47.4,10,13,76.9,11,34,45,26,7,6,12,18,11.0
17137,ATL,ATL @ HOU,12/31/2011,L,240,84,35,80,43.8,4,16,25.0,10,16,62.5,6,34,40,16,4,6,12,14,-11.0
17138,LAL,LAL vs. DEN,12/31/2011,W,240,92,39,86,45.3,2,24,8.3,12,15,80.0,14,36,50,24,6,4,20,20,3.0
17139,DEN,DEN @ LAL,12/31/2011,L,240,89,34,80,42.5,7,26,26.9,14,22,63.6,8,28,36,22,11,5,15,17,-3.0
17140,UTA,UTA @ SAS,12/31/2011,L,240,89,33,89,37.1,2,16,12.5,21,25,84.0,14,30,44,11,13,9,7,25,-15.0
17141,SAS,SAS vs. UTA,12/31/2011,W,240,104,36,74,48.6,10,16,62.5,22,31,71.0,5,41,46,26,4,5,19,21,15.0
17142,PHI,PHI @ GSW,12/31/2011,W,240,107,39,79,49.4,11,20,55.0,18,31,58.1,10,38,48,29,12,6,12,17,28.0
17143,GSW,GSW vs. PHI,12/31/2011,L,240,79,34,89,38.2,4,17,23.5,7,12,58.3,16,32,48,20,7,2,16,22,-28.0
17144,CHA,CHA vs. ORL,12/30/2011,L,240,79,30,83,36.1,5,15,33.3,14,18,77.8,12,29,41,19,6,3,12,23,-21.0
17145,ORL,ORL @ CHA,12/30/2011,W,240,100,37,84,44.0,12,28,42.9,14,24,58.3,14,35,49,23,3,7,12,16,21.0
17146,MEM,MEM vs. HOU,12/30/2011,W,240,113,45,80,56.3,0,5,0.0,23,33,69.7,7,35,42,23,10,7,16,19,20.0
17147,HOU,HOU @ MEM,12/30/2011,L,240,93,34,79,43.0,11,29,37.9,14,18,77.8,6,27,33,19,9,4,20,29,-20.0
17148,PHX,PHX @ NOH,12/30/2011,W,240,93,33,78,42.3,7,23,30.4,20,22,90.9,10,37,47,22,3,10,12,22,15.0
17149,NOH,NOH vs. PHX,12/30/2011,L,240,78,26,90,28.9,3,14,21.4,23,28,82.1,24,33,57,14,4,5,13,24,-15.0
17150,MIN,MIN vs. MIA,12/30/2011,L,240,101,39,83,47.0,11,29,37.9,12,20,60.0,12,37,49,21,11,4,25,22,-2.0
17151,MIA,MIA @ MIN,12/30/2011,W,240,103,46,93,49.5,3,14,21.4,8,14,57.1,9,33,42,29,14,6,15,21,2.0
17152,TOR,TOR @ DAL,12/30/2011,L,240,86,33,72,45.8,6,14,42.9,14,18,77.8,5,33,38,20,8,1,17,23,-13.0
17153,DAL,DAL vs. TOR,12/30/2011,W,240,99,32,72,44.4,7,25,28.0,28,38,73.7,7,33,40,21,11,4,10,13,13.0
17154,WAS,WAS @ MIL,12/30/2011,L,240,81,30,85,35.3,7,18,38.9,14,19,73.7,9,26,35,19,9,5,14,22,-21.0
17155,MIL,MIL vs. WAS,12/30/2011,W,240,102,39,73,53.4,8,20,40.0,16,25,64.0,10,40,50,26,5,7,20,19,21.0
17156,UTA,UTA vs. PHI,12/30/2011,W,240,102,35,79,44.3,6,16,37.5,26,33,78.8,9,32,41,17,8,9,12,23,3.0
17157,PHI,PHI @ UTA,12/30/2011,L,240,99,37,77,48.1,4,13,30.8,21,29,72.4,7,33,40,19,7,3,13,22,-3.0
17158,IND,IND vs. CLE,12/30/2011,W,265,98,36,94,38.3,2,10,20.0,24,32,75.0,17,43,60,15,9,10,18,27,7.0
17159,CLE,CLE @ IND,12/30/2011,L,265,91,34,88,38.6,5,25,20.0,18,31,58.1,9,40,49,13,7,9,18,28,-7.0
17160,NJN,NJN @ ATL,12/30/2011,L,240,98,38,82,46.3,9,20,45.0,13,14,92.9,15,25,40,20,7,2,15,26,-7.0
17161,ATL,ATL vs. NJN,12/30/2011,W,240,105,37,77,48.1,4,15,26.7,27,38,71.1,15,23,38,22,7,6,12,15,7.0
17162,LAC,LAC vs. CHI,12/30/2011,L,240,101,41,80,51.3,7,15,46.7,12,20,60.0,9,22,31,26,6,3,11,22,-13.0
17163,CHI,CHI @ LAC,12/30/2011,W,240,114,39,78,50.0,7,17,41.2,29,34,85.3,15,30,45,29,4,2,12,19,13.0
17164,DET,DET @ BOS,12/30/2011,L,240,85,34,79,43.0,3,16,18.8,14,15,93.3,12,23,35,18,3,0,12,14,-11.0
17165,BOS,BOS vs. DET,12/30/2011,W,240,96,35,67,52.2,7,16,43.8,19,19,100.0,5,25,30,25,4,6,11,18,11.0
17166,OKC,OKC vs. DAL,12/29/2011,W,240,104,37,63,58.7,6,14,42.9,24,32,75.0,6,32,38,19,8,8,26,19,2.0
17167,DAL,DAL @ OKC,12/29/2011,L,240,102,38,90,42.2,9,26,34.6,17,21,81.0,14,24,38,25,14,1,12,24,-2.0
17168,SAC,SAC vs. CHI,12/29/2011,L,240,98,35,83,42.2,8,17,47.1,20,34,58.8,18,24,42,13,8,2,16,19,-10.0
17169,CHI,CHI @ SAC,12/29/2011,W,240,108,43,80,53.8,6,12,50.0,16,21,76.2,8,33,41,25,6,5,18,27,10.0
17170,POR,POR vs. DEN,12/29/2011,W,240,111,41,79,51.9,8,20,40.0,21,23,91.3,7,43,50,20,3,9,25,25,9.0
17171,DEN,DEN @ POR,12/29/2011,L,240,102,35,87,40.2,4,20,20.0,28,33,84.8,3,27,30,17,16,2,7,20,-9.0
17172,ORL,ORL vs. NJN,12/29/2011,W,240,94,36,81,44.4,9,21,42.9,13,25,52.0,11,35,46,25,8,4,13,19,16.0
17173,NJN,NJN @ ORL,12/29/2011,L,240,78,29,77,37.7,6,17,35.3,14,21,66.7,9,33,42,17,5,5,15,26,-16.0
17174,SAS,SAS @ HOU,12/29/2011,L,240,85,35,93,37.6,2,17,11.8,13,20,65.0,22,24,46,12,4,7,12,10,-20.0
17175,HOU,HOU vs. SAS,12/29/2011,W,240,105,43,85,50.6,9,26,34.6,10,13,76.9,13,33,46,21,7,8,11,17,20.0
17176,NYK,NYK @ LAL,12/29/2011,L,240,82,21,67,31.3,6,22,27.3,34,41,82.9,9,23,32,15,11,6,13,20,-17.0
17177,LAL,LAL vs. NYK,12/29/2011,W,240,99,38,73,52.1,9,16,56.3,14,22,63.6,6,34,40,23,6,7,17,28,17.0
17178,CHA,CHA vs. MIA,12/28/2011,L,240,95,39,82,47.6,7,18,38.9,10,16,62.5,15,38,53,22,5,9,22,22,-1.0
17179,MIA,MIA @ CHA,12/28/2011,W,240,96,36,78,46.2,1,6,16.7,23,28,82.1,5,25,30,19,7,10,10,17,1.0
17180,MEM,MEM vs. OKC,12/28/2011,L,240,95,34,87,39.1,2,16,12.5,25,33,75.8,19,30,49,13,5,6,12,22,-3.0
17181,OKC,OKC @ MEM,12/28/2011,W,240,98,29,77,37.7,10,25,40.0,30,38,78.9,12,29,41,16,4,8,11,24,3.0
17182,TOR,TOR vs. IND,12/28/2011,L,240,85,36,79,45.6,6,15,40.0,7,13,53.8,10,29,39,21,13,5,19,25,-5.0
17183,IND,IND @ TOR,12/28/2011,W,240,90,32,81,39.5,7,16,43.8,19,22,86.4,12,29,41,20,10,2,16,16,5.0
17184,NOH,NOH vs. BOS,12/28/2011,W,240,97,36,79,45.6,4,12,33.3,21,25,84.0,12,36,48,16,7,12,12,20,19.0
17185,BOS,BOS @ NOH,12/28/2011,L,240,78,29,78,37.2,7,17,41.2,13,18,72.2,13,24,37,16,4,12,13,22,-19.0
17186,UTA,UTA @ DEN,12/28/2011,L,240,100,38,79,48.1,7,16,43.8,17,25,68.0,8,31,39,25,10,3,22,23,-17.0
17187,DEN,DEN vs. UTA,12/28/2011,W,240,117,46,86,53.5,6,19,31.6,19,26,73.1,12,33,45,29,17,3,18,20,17.0
17188,WAS,WAS @ ATL,12/28/2011,L,240,83,30,77,39.0,6,16,37.5,17,22,77.3,6,26,32,16,10,3,18,24,-18.0
17189,ATL,ATL vs. WAS,12/28/2011,W,240,101,32,75,42.7,9,23,39.1,28,35,80.0,11,34,45,21,6,5,15,21,18.0
17190,DET,DET vs. CLE,12/28/2011,L,240,89,36,81,44.4,9,21,42.9,8,11,72.7,10,16,26,16,11,1,17,21,-16.0
17191,CLE,CLE @ DET,12/28/2011,W,240,105,40,70,57.1,7,12,58.3,18,22,81.8,12,28,40,28,9,3,22,15,16.0
17192,PHX,PHX vs. PHI,12/28/2011,L,240,83,33,80,41.3,2,11,18.2,15,18,83.3,8,31,39,15,3,3,12,17,-20.0
17193,PHI,PHI @ PHX,12/28/2011,W,240,103,41,86,47.7,7,17,41.2,14,18,77.8,12,36,48,22,11,2,12,19,20.0
17194,SAS,SAS vs. LAC,12/28/2011,W,240,115,45,80,56.3,10,19,52.6,15,15,100.0,7,36,43,27,3,1,17,23,25.0
17195,LAC,LAC @ SAS,12/28/2011,L,240,90,29,74,39.2,7,20,35.0,25,33,75.8,10,20,30,17,8,5,12,17,-25.0
17196,NYK,NYK @ GSW,12/28/2011,L,240,78,28,70,40.0,4,21,19.0,18,25,72.0,4,27,31,15,7,0,15,21,-14.0
17197,GSW,GSW vs. NYK,12/28/2011,W,240,92,35,77,45.5,6,16,37.5,16,24,66.7,11,36,47,20,12,4,16,17,14.0
17198,MIN,MIN @ MIL,12/27/2011,L,240,95,28,70,40.0,6,14,42.9,33,45,73.3,16,38,54,14,6,0,26,24,-3.0
17199,MIL,MIL vs. MIN,12/27/2011,W,240,98,40,94,42.6,2,16,12.5,16,20,80.0,16,29,45,24,13,5,12,28,3.0
17200,SAC,SAC @ POR,12/27/2011,L,240,79,31,82,37.8,3,16,18.8,14,22,63.6,14,28,42,11,1,4,20,27,-22.0
17201,POR,POR vs. SAC,12/27/2011,W,240,101,38,85,44.7,3,18,16.7,22,28,78.6,15,29,44,25,6,8,10,23,22.0
17202,MIA,MIA vs. BOS,12/27/2011,W,240,115,42,75,56.0,6,10,60.0,25,35,71.4,6,32,38,22,16,8,20,22,8.0
17203,BOS,BOS @ MIA,12/27/2011,L,240,107,37,72,51.4,12,19,63.2,21,27,77.8,4,24,28,20,9,3,24,27,-8.0
17204,NJN,NJN vs. ATL,12/27/2011,L,240,70,22,71,31.0,5,24,20.8,21,26,80.8,9,27,36,9,5,5,18,22,-36.0
17205,ATL,ATL @ NJN,12/27/2011,W,240,106,38,86,44.2,12,23,52.2,18,21,85.7,17,34,51,23,11,4,13,23,36.0
17206,UTA,UTA @ LAL,12/27/2011,L,240,71,29,90,32.2,1,13,7.7,12,17,70.6,18,28,46,20,6,6,10,28,-25.0
17207,LAL,LAL vs. UTA,12/27/2011,W,240,96,30,71,42.3,6,16,37.5,30,37,81.1,11,35,46,17,8,9,12,21,25.0
17208,CHA,CHA vs. MIL,12/26/2011,W,240,96,38,86,44.2,4,19,21.1,16,21,76.2,15,37,52,27,3,6,16,20,1.0
17209,MIL,MIL @ CHA,12/26/2011,L,240,95,34,84,40.5,8,23,34.8,19,23,82.6,8,31,39,21,6,2,12,20,-1.0
17210,WAS,WAS vs. NJN,12/26/2011,L,240,84,31,74,41.9,1,7,14.3,21,34,61.8,8,31,39,13,8,7,12,17,-6.0
17211,NJN,NJN @ WAS,12/26/2011,W,240,90,34,86,39.5,6,26,23.1,16,20,80.0,18,40,58,17,7,3,16,26,6.0
17212,OKC,OKC @ MIN,12/26/2011,W,240,104,35,78,44.9,5,16,31.3,29,31,93.5,8,34,42,18,6,5,17,26,4.0
17213,MIN,MIN vs. OKC,12/26/2011,L,240,100,39,87,44.8,3,22,13.6,19,26,73.1,10,30,40,22,4,2,12,24,-4.0
17214,SAC,SAC vs. LAL,12/26/2011,W,240,100,35,75,46.7,9,18,50.0,21,35,60.0,10,30,40,16,4,6,12,19,9.0
17215,LAL,LAL @ SAC,12/26/2011,L,240,91,37,88,42.0,1,16,6.3,16,19,84.2,16,29,45,21,6,6,11,25,-9.0
