Unnamed: 0_left,Team_left,Match Up_left,Game Date_left,W/L_left,MIN_left,PTS_left,FGM_left,FGA_left,FG%_left,3PM_left,3PA_left,3P%_left,FTM_left,FTA_left,FT%_left,OREB_left,DREB_left,REB_left,AST_left,STL_left,BLK_left,TOV_left,PF_left,+/-_left,winrate 35_left,Unnamed: 0_right,Team_right,Match Up_right,Game Date_right,W/L_right,MIN_right,PTS_right,FGM_right,FGA_right,FG%_right,3PM_right,3PA_right,3P%_right,FTM_right,FTA_right,FT%_right,OREB_right,DREB_right,REB_right,AST_right,STL_right,BLK_right,TOV_right,PF_right,+/-_right,winrate 35_right
63,PHI,PHI vs. UTA,11/16/2018,W,240,114.91176470588235,42.3235294117647,89.73529411764706,46.64705882352941,11.911764705882353,32.85294117647059,35.73529411764706,18.352941176470587,24.470588235294116,74.58823529411765,10.5,39.205882352941174,49.705882352941174,29.264705882352942,7.823529411764706,5.823529411764706,15.058823529411764,22.294117647058822,6.970588235294118,0.7647058823529411,,,,,,,,,,,,,,,,,,,,,,,,,,
65,MIN,MIN vs. POR,11/16/2018,W,240,109.73333333333333,40.266666666666666,89.6,44.833333333333336,9.566666666666666,26.4,36.36666666666667,19.633333333333333,24.1,80.66666666666667,10.933333333333334,32.2,43.13333333333333,23.0,8.7,4.966666666666667,13.1,19.8,-2.2666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BOS,BOS vs. TOR,11/16/2018,W,265,103.53333333333333,38.0,86.9,43.36666666666667,11.733333333333333,31.333333333333332,37.5,15.8,20.333333333333332,77.0,10.133333333333333,35.46666666666667,45.6,23.133333333333333,8.0,4.633333333333334,14.366666666666667,19.166666666666668,1.9,0.5666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
69,BKN,BKN @ WAS,11/16/2018,W,240,109.0,39.483870967741936,87.45161290322581,44.774193548387096,13.580645161290322,36.12903225806452,36.74193548387097,16.451612903225808,22.483870967741936,72.96774193548387,9.870967741935484,33.03225806451613,42.903225806451616,24.70967741935484,6.774193548387097,5.774193548387097,14.580645161290322,21.903225806451612,-2.2903225806451615,0.41935483870967744,,,,,,,,,,,,,,,,,,,,,,,,,,
71,MIA,MIA @ IND,11/16/2018,L,240,110.23333333333333,40.766666666666666,89.83333333333333,45.13333333333333,11.666666666666666,31.733333333333334,36.06666666666667,17.033333333333335,22.9,74.26666666666667,10.466666666666667,35.7,46.166666666666664,23.8,7.266666666666667,6.2,14.766666666666667,22.566666666666666,1.6666666666666667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
73,LAC,LAC vs. SAS,11/15/2018,W,240,111.45161290322581,41.16129032258065,86.51612903225806,47.225806451612904,8.548387096774194,22.838709677419356,36.03225806451613,20.580645161290324,27.193548387096776,73.87096774193549,10.225806451612904,34.516129032258064,44.74193548387097,22.161290322580644,6.354838709677419,4.612903225806452,14.838709677419354,21.06451612903226,-0.5161290322580645,0.4838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ATL,ATL @ DEN,11/15/2018,L,240,106.0,39.1,87.83333333333333,44.3,12.1,34.833333333333336,34.233333333333334,15.7,21.3,74.53333333333333,8.666666666666666,36.3,44.96666666666667,24.633333333333333,7.2,4.5,16.7,20.866666666666667,-8.166666666666666,0.23333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,
77,GSW,GSW @ HOU,11/15/2018,L,240,111.93548387096774,42.54838709677419,87.0,48.354838709677416,10.838709677419354,27.64516129032258,38.29032258064516,16.0,19.483870967741936,81.83870967741936,9.161290322580646,34.74193548387097,43.903225806451616,27.387096774193548,7.67741935483871,6.129032258064516,14.612903225806452,20.903225806451612,3.2580645161290325,0.6129032258064516,,,,,,,,,,,,,,,,,,,,,,,,,,
79,CLE,CLE @ WAS,11/14/2018,L,240,109.8,40.6,86.73333333333333,46.53333333333333,10.566666666666666,27.433333333333334,37.7,18.033333333333335,22.866666666666667,78.43333333333334,10.233333333333333,33.03333333333333,43.266666666666666,21.4,7.066666666666666,3.1333333333333333,14.0,19.066666666666666,-0.9,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
81,LAL,LAL vs. POR,11/14/2018,W,240,110.83333333333333,41.53333333333333,88.83333333333333,46.3,10.766666666666667,30.933333333333334,34.766666666666666,17.0,23.4,72.4,10.266666666666667,36.1,46.36666666666667,24.533333333333335,7.566666666666666,5.066666666666666,15.733333333333333,20.9,-0.16666666666666666,0.43333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,
